0,114,1,1,1,115,1,1,114,115,1,1,87,-1,-1
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,142,3,-1
28,0,1,1,1,112,1,1,1,1,3,117,-1,31,-1
28,28,-1,-1,-1,28,-1,-1,-1,-1,84,3,-1,31,-1
28,28,-1,-1,-1,28,-1,-1,-1,-1,-1,31,-1,31,-1
28,28,-1,-1,-1,28,-1,-1,-1,-1,-1,31,-1,31,-1
28,28,-1,-1,-1,28,-1,-1,-1,-1,-1,31,-1,31,-1
28,140,1,58,1,85,-1,-1,-1,-1,-1,31,-1,31,-1
28,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,-1,31,-1
28,56,87,-1,-1,-1,-1,-1,86,58,87,31,-1,31,-1
28,-1,142,1,1,1,1,1,143,-1,56,59,-1,31,-1
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,116,31,-1
56,87,117,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,-1
-1,56,1,114,1,1,58,1,1,1,115,1,1,59,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
