252,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,255
256,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,256
256,29,112,1,1,1,1,112,1,1,1,1,1,1,1,1,1,3,29,256
256,29,28,29,29,29,29,28,29,29,29,29,29,29,29,29,29,31,29,256
256,29,28,29,29,29,29,28,93,29,29,29,29,29,29,29,29,31,29,256
256,29,28,29,29,29,29,28,29,29,29,29,29,29,29,29,29,31,29,256
256,29,28,29,29,29,29,56,1,1,1,1,1,1,1,58,1,141,29,256
256,29,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,31,29,256
256,29,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,31,29,256
256,29,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,31,29,256
256,29,28,29,29,29,29,112,1,1,1,58,1,1,1,1,1,141,29,256
256,29,28,29,29,29,29,28,29,29,29,29,29,29,29,29,29,31,29,256
256,29,28,29,29,29,29,28,29,29,29,29,29,29,29,29,93,31,29,256
256,29,140,1,58,1,1,28,29,29,29,29,29,29,29,29,29,31,29,256
256,29,28,29,29,29,29,28,29,29,29,29,86,1,1,1,1,59,29,256
256,29,28,29,29,29,29,28,29,29,29,29,31,29,29,29,29,29,29,256
256,29,28,86,58,87,29,28,29,29,29,29,31,29,117,29,29,116,29,256
256,29,142,143,29,142,114,1,1,115,1,1,59,29,29,29,29,29,117,256
256,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,256
258,253,253,253,253,253,253,253,253,253,253,253,253,253,253,254,253,253,253,261
